"140,2^12,10^1,20^1,35^1"	4170																																																																																																																																																																																														
"140,2^26,4^1,7^2,10^1"	4500																																																																																																																																																																																														
"140,2^20,5^2,35^1,10^1,14^1"	4670																																																																																																																																																																																														
"140,2^23,4^1,7^1"	4710																																																																																																																																																																																														
"140,2^24,4^1,28^2"	4817																																																																																																																																																																																														
"140,2^20,10^2,7^1"	4854																																																																																																																																																																																														
"140,2^30,10^1,14^2"	4958																																																																																																																																																																																														
"140,5^1,2^13,10^2,20^1,14^2"	5446																																																																																																																																																																																														
"140,2^28,10^2,20^1"	5884																																																																																																																																																																																														
"140,2^12,14^4,4^1,28^1,10^1"	6179																																																																																																																																																																																														
"140,2^23,20^1,35^1"	6246																																																																																																																																																																																														
"140,2^14,28^1,35^1,70^1,14^1,20^1"	6257																																																																																																																																																																																														
"140,28^1,2^24,14^1,5^1"	6384																																																																																																																																																																																														
"140,2^27,20^1,7^1"	6510																																																																																																																																																																																														
"140,2^25,20^1,10^1"	6658																																																																																																																																																																																														
Generation	3																																																																																																																																																																																														
"140,2^4,70^1"	152																																																																																																																																																																																														
"140,2^5,70^1"	232																																																																																																																																																																																														
"140,2^6,70^1"	316																																																																																																																																																																																														
"140,2^5,70^1,14^1"	352																																																																																																																																																																																														
"140,2^20,14^2,5^1"	762																																																																																																																																																																																														
"140,2^5,4^1,35^1,10^1"	962																																																																																																																																																																																														
"140,2^8,70^1,7^1"	992																																																																																																																																																																																														
"140,2^16,14^2,10^1"	1300																																																																																																																																																																																														
"140,2^15,4^1,14^1"	1496																																																																																																																																																																																														
"140,2^16,4^1,10^1"	1518																																																																																																																																																																																														
"140,2^16,35^2"	1942																																																																																																																																																																																														
"140,2^26,70^1"	2584																																																																																																																																																																																														
"140,2^24,20^1,5^1,14^1"	2840																																																																																																																																																																																														
"140,2^2,4^2,28^4,14^1"	3249																																																																																																																																																																																														
"140,2^22,70^1"	3540																																																																																																																																																																																														
"140,5^2,2^25,20^1"	3686																																																																																																																																																																																														
"140,2^12,10^1,20^1,35^1"	4170																																																																																																																																																																																														
"140,2^28,14^1,10^1,7^1"	4246																																																																																																																																																																																														
"140,2^26,4^1,7^2,10^1"	4500																																																																																																																																																																																														
"140,2^20,5^2,35^1,10^1,14^1"	4670																																																																																																																																																																																														
"140,2^23,4^1,7^1"	4710																																																																																																																																																																																														
"140,2^27,70^1,10^1"	4776																																																																																																																																																																																														
"140,2^24,4^1,28^2"	4817																																																																																																																																																																																														
Generation	4																																																																																																																																																																																														
"140,2^4,70^1"	136																																																																																																																																																																																														
"140,2^5,70^1"	232																																																																																																																																																																																														
"140,2^6,70^1"	316																																																																																																																																																																																														
"140,2^5,70^1,14^1"	352																																																																																																																																																																																														
"140,2^20,14^2,5^1"	762																																																																																																																																																																																														
"140,2^8,70^1,14^1,5^1"	784																																																																																																																																																																																														
"140,2^15,14^1,7^1"	820																																																																																																																																																																																														
"140,2^5,4^1,35^1,10^1"	950																																																																																																																																																																																														
"140,2^8,70^1,7^1"	992																																																																																																																																																																																														
"140,2^16,14^2,10^1"	1300																																																																																																																																																																																														
"140,2^15,4^1,14^1"	1496																																																																																																																																																																																														
"140,2^16,4^1,10^1"	1518																																																																																																																																																																																														
"140,2^16,35^2"	1942																																																																																																																																																																																														
"140,2^21,4^1,5^1,14^1"	2158																																																																																																																																																																																														
"140,2^13,70^1,14^2,10^1"	2480																																																																																																																																																																																														
"140,2^26,70^1"	2584																																																																																																																																																																																														
"140,2^24,20^1,5^1,14^1"	2840																																																																																																																																																																																														
"140,2^2,4^2,28^4,14^1"	3249																																																																																																																																																																																														
"140,2^22,70^1"	3540																																																																																																																																																																																														
"140,5^2,2^25,20^1"	3686																																																																																																																																																																																														
"140,2^20,14^1,10^1"	3714																																																																																																																																																																																														
"140,2^29,10^2"	4164																																																																																																																																																																																														
"140,2^12,10^1,20^1,35^1"	4170																																																																																																																																																																																														
Generation	5																																																																																																																																																																																														
"140,2^4,70^1"	136																																																																																																																																																																																														
"140,2^5,70^1"	232																																																																																																																																																																																														
"140,2^6,70^1"	316																																																																																																																																																																																														
"140,2^5,70^1,14^1"	352																																																																																																																																																																																														
